Company,Role name,Applied Date,Coding Challenge,Recruiter,Phone,On-Campus,Onsite,Result
Tesla,Autopilot - Systems Software Engineer Intern (Fall 2020),7/19/2020,,,,,,
Morgan Stanley,2021 Technology Summer Analyst Program (New York),7/19/2020,,,,,,
Apple,Software Engineering Internship,7/19/2020,,,,,,
Apple,Machine Learning / AI - Engineering & Research Internship (ICML 2020),7/19/2020,,,,,,
Apple,Machine Learning / AI Internship,7/19/2020,,,,,,
Facebook,"Software Engineer, Intern",7/19/2020,CodeSignal,,27-Oct,10/29/2020,,Rejected
Jane Street,Software Engineering Internship,7/19/2020,,,,,,Rejected
NASA JPL,Software Computing Systems Summer Intern,7/19/2020,,,,,,
Intel,Software Engineer Undergraduate Intern,7/19/2020,,,,,,Rejected
Databricks,Software Engineering Internship,8/1/2020,CodeSignal,,,,,Rejected
Amazon,Software Engineering Internship,8/1/2020,Code Challenge,,10/2/2020,,,Accepted!
Bank of America ,Software Engineering Internship,8/1/2020,Code Challenge,,,,,
Nuro,Software Engineering Internship,8/2/2020,,,,,,
Qualtrics,Software Engineering Intern - Seattle,8/5/2020,,,10/1/2020,10/2/2020,10/3/2020,Rejected
Two Sigma,Software Engineering Internship,8/8/2020,,,10/10/2020,,,Rejected
Optiver,Software Engineering Internship,8/8/2020,,,,,,Rejected
Robinhood,Software Engineering Internship,8/8/2020,CodeSignal,,,,,Rejected
scale.ai,Software Engineering Intern,8/8/2020,,,,,,Rejected
Coursera,Software Engineer Intern (Summer 2021) - Toronto,8/8/2020,,,,,,
Bloomberg,"Software Engineer Intern - 2021 Job in New York, USA.",8/8/2020,,,,,,
Citrix,Software Engineering Intern,8/11/2020,,,,,,
Capital One ,Software Engineering Internship,8/11/2020,,,,,,
DropBox,Software Engineering Intern,8/11/2020,,,,,,Rejected
Neeva ,Software Engineering Intern,8/11/2020,,,,,,
Zillow,Software Engineering Intern,8/16/2020,,,,,,
Salesforce,Software Engineering Intern,8/16/2020,,,,,,Rejected
Google,Software Engineer Intern,8/22/2020,,,9/25/2020,10/5/2020,,Rejected
Tableau,Software Engineering Intern,8/22/2020,,,,,,
Qumulo,SWE intern,8/22/2020,,,,,,
SurveyMonkey ,SWE Intern,8/22/2020,,,,,,Rejected
Telsa ,SWE Intern,8/22/2020,,,,,,
McKinsey,SWE Intern,8/22/2020,Coding Challenge,,,,,Rejected
Expedia ,SWE Intern,9/5/2020,,,,,,Rejected
Path AI ,Machine Learning Intern,9/6/2020,Coding Challenge,,,,,Rejected
Lyft ,SWE Intern,9/6/2020,,,,,,
Dell Technologies,SWE Intern,9/6/2020,,,,,,
DataDog,SWE Intern,9/6/2020,,,,,,
Splunk,Technical Residency Internship,9/6/2020,,,,,,
MongoDB,SWE Intern,9/6/2020,,,,,,
Sony,SWE Intern,9/6/2020,,,,,,
NVIDIA,SWE Intern: IVA Applications,9/7/2020,,,,,,
NVIDIA,SWE Intern: Algorithms and Machine Learning,9/7/2020,,,,,,
Playstation,SWE Intern,9/7/2020,,,,,,Rejected
Waymo,"2021 Intern, Software Engineering, Simulation and Data Science",9/13/2020,,,,,,
Waymo,"2021 Intern, Software Engineering, Behavior Prediction",9/13/2020,,,,,,
Waymo,"2021 Intern, Software Engineering, Planner ML",9/13/2020,,,,,,
SpaceX,2021 Intern,9/21/2020,,,,,,
DeepMind,2021 SWE Intern,9/28/2020,,,,,,Rejected
DeepMind,2021 Research Engineer Intern,9/28/2020,,,,,,
Google X ,Everyday Robotics Project,11/18/2020,,,,,,
Google X,SWE intern,11/18/2020,,,,,,
Carnegie Robotics,SWE Intern ,11/8/2020,,,11/20/2020,,,ongoing
